attrictions,type,reviews,html
Raffles City,Shopping Malls,492,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2139569-Reviews-Raffles_City-Singapore.html
Singapore City Gallery,Speciality Museums,489,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d315469-Reviews-Singapore_City_Gallery-Singapore.html
Jewel Changi Airport,Shopping Malls,483,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d17237163-Reviews-Jewel_Changi_Airport-Singapore.html
Kampong Glam,Neighbourhoods,444,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317436-Reviews-Kampong_Glam-Singapore.html
Esplanade Park,Parks,422,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317427-Reviews-Esplanade_Park-Singapore.html
Resorts World Sentosa Casino,Casinos,416,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1994850-Reviews-Resorts_World_Sentosa_Casino-Singapore.html
OCBC Skyway,Scenic Walking Areas,413,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d10229455-Reviews-OCBC_Skyway-Singapore.html
Bukit Timah Nature Reserve,Hiking Trails,383,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d315472-Reviews-Bukit_Timah_Nature_Reserve-Singapore.html
Wild Wild Wet,Water Parks,376,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d641343-Reviews-Wild_Wild_Wet-Singapore.html
St Andrew's Cathedral,Sacred & Religious Sites,371,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d446427-Reviews-St_Andrew_s_Cathedral-Singapore.html
Mount Faber,Arenas & Stadiums,366,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2344356-Reviews-Mount_Faber-Singapore.html
Holland Village,Neighbourhoods,331,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2062367-Reviews-Holland_Village-Singapore.html
ION Sky,Lookouts,329,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2280987-Reviews-ION_Sky-Singapore.html
Plaza Singapura,,310,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1640639-Reviews-Plaza_Singapura-Singapore.html
Emerald Hill,Cemeteries,309,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d592883-Reviews-Emerald_Hill-Singapore.html
IMM Outlet Mall,Shopping Malls,307,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4717342-Reviews-IMM_Outlet_Mall-Singapore.html
City Square Mall,Shopping Malls,300,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2139492-Reviews-City_Square_Mall-Singapore.html
Thian Hock Keng Temple,Sacred & Religious Sites,282,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317402-Reviews-Thian_Hock_Keng_Temple-Singapore.html
Cavenagh Bridge,Bridges,269,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d591456-Reviews-Cavenagh_Bridge-Singapore.html
Mint Museum of Toys,Speciality Museums,263,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1452075-Reviews-Mint_Museum_of_Toys-Singapore.html
Marina Square,Shopping Malls,252,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2139528-Reviews-Marina_Square-Singapore.html
313@somerset,Shopping Malls,248,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2139475-Reviews-313_somerset-Singapore.html
Tekka Centre,Shopping Malls,247,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2338971-Reviews-Tekka_Centre-Singapore.html
Singapore Philatelic Museum,Speciality Museums,245,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d446422-Reviews-Singapore_Philatelic_Museum-Singapore.html
Katong District,Historic Sites,236,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d640944-Reviews-Katong_District-Singapore.html
